,answers,district,month,query-type,questions,state
8181,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER']",ALWAR,3,	Plant Protection	,control in me pest tell tomato,RAJASTHAN
8182,"['Summer of urad crop should be sown until March 15.', 'Recommended for fabruary to march is the best sowing time for black gram crop.']",JABALPUR,2,Sowing Time and Weather,about black crop farmer gram know of sowing time to wants,MADHYA PRADESH
8183,['PLEASE VISIT THIS SITE  WWW.GRAMRAJASTHAN.GOV.IN'],BARMER,5,Cultural Practices,2017 can festival for gram how i ragister,RAJASTHAN
8184,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER FOR CONTROL OF WHITE RUST DISEASE IN MUSTARD'],BARMER,3,	Plant Protection	,control disease in me musterd tell,RAJASTHAN
8185,['DRENCHING OF HEXACONAZOLE  2 ML PER LITER WATER IN ROOT ZONE'],ALWAR,6,	Plant Protection	,control disease ginger in me root stem tell,RAJASTHAN
8186,['Spark 36 EC@1000 ml Spray per ha.'],SAGAR,1,	Plant Protection	,about control defoliators farmer gram how in information know to to wants,MADHYA PRADESH
8187,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,bhinda control funges me of tell,RAJASTHAN
8188,"['State- MP, Date 27/01/2017, mandi - jabalpur  , crop - black gram  , Minimum Price- 4455 Rs/Quintal , Maximum Price- 5200Rs/Quintal  Modal Price- 4990 Rs/Quintal.']",JABALPUR,1,Market Information,about black farmer gram in jabalpur know mandi mandi of rate to want,MADHYA PRADESH
8189,['YOU CAN NOT USE HERBICIDE IN STANDING CROP OF TIL'],AJMER,7,Weed Management,control in me tell til weed,RAJASTHAN
8190,['ecommended for Metsulfuron methyl 20% WP 8 gram per acer.'],SAGAR,2,Weed Management,about broad control crop farmer how in know leaf r to to wants weeds wheat,MADHYA PRADESH
8191,['MANDI RATE OF GUAR  IN  BARMER =3725 R.S /QT'],BARMER,8,Market Information,guar in mandi me rate tell,RAJASTHAN
8192,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,4,	Plant Protection	,about citrus dropping flower me of tell,RAJASTHAN
8193,['SUBSIDY IN ANIMAL HUSBANDERY SC&ST 33.33% AND GEN 25%'],BARMER,9,Animal Breeding,animal husbandery me subsidy tell,RAJASTHAN
8194,['5571 RU /QU'],AJMER,1,Market Information,bikaner mandi me of rate tell urd,RAJASTHAN
8195,['apply urea 1 byag / ekar'],RATNAGIRI,1,Fertilizer Use and Availability,fertilizer,MAHARASHTRA
8196,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,8,Nutrient Management,control cotton droping fllower in me tell,RAJASTHAN
8197,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],ALWAR,7,Nutrient Management,in management marigold me nutrient tell,RAJASTHAN
8198,['recommended for cartap hydrochloride  7-8 kilogram/acar.....'],SAGAR,1,	Plant Protection	,borer control crop how in stem to wheat,MADHYA PRADESH
8199,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,aphid control em in methi tell,RAJASTHAN
8200,['SPRAY OF MENCOZEB 2 GM + ACEPHATE 75% SP 2 GM PER LITER WATER'],ALWAR,5,	Plant Protection	,cihilli control in me tell yellowing,RAJASTHAN
8201,['SPRAY STREPTOCYCLINE @ 3GM + COPPER OXY CHLORIDE @ 40GM/15LIT WATER FOR COLAR ROT IN CHILLI'],CUTTACK,4,	Plant Protection	,chilli colar in rot,ODISHA
8202,['PLZESE CONTACT YOUR AG. SUPERVISIOR'],BARMER,3,Government Schemes,about ag info me subsidy tell,RAJASTHAN
8203,"['VARIETY OF BHINDI = VARSHA UPHAR,PARBHANI KRANTI, PUSA MAKHMALI, ARKA ANAMIKA']",ALWAR,1,Seeds and Planting Material,about me of okra tell variety,RAJASTHAN
8204,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,6,Nutrient Management,ber control in me pest tell,RAJASTHAN
8205,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,6,Cultural Practices,about bail control drop flower in me tell,RAJASTHAN
8206,['15/03/2017\t199.1\tOther\t500\t700\t600\r\n\t16/03/2017\t163.2\tOther\t500\t700\t600\r\n\t18/03/2017\t414.4\tOther\t500\t700\t600\r\n\t19/03/2017\t119.9\tOther\t500\t700\t600\r\n\t20/03/2017\t316.3\tOther\t500\t700\t600\r\n\t21/03/2017\t462.3\t \tNR\tNR\tNR\r\n\t22/03/2017\t364.4\tOther\t500\t700\t600'],SAGAR,3,Market Information,about farmer information know mandi to wants,MADHYA PRADESH
8207,['Fertilizers: 50 kg N + 75 kg P205 + 37 kg K20 per hectare is given as basal dose and 75 kg of N per hectare as top dressing in three equal doses should be applied.'],SAGAR,7,Nutrient Management,farmer in information management needs nutrient peppermint regarding,MADHYA PRADESH
8208,"['VARIETY OF BRINJAL= AZAD KRANTI, PANT RITURAJ, H 7, PUSA HYBRID 6']",ALWAR,1,Spices and Condiment Crops,brinjal me of tel variety,RAJASTHAN
8209,"[""Sprinkle farmer's brother crop for the prevention of fungal diseases Carbendazim 12% + MENKOGAB 63% 40 grams per pump medicine and Streptocycline 2 grams per day for 15 liters of water."", 'Recommended for to control of fungal attack in crop use thiophinate mithyl 70 wp 25-30 gram and streptocyclin 2 gram at 15 liter of water', 'Recommended spray of   carbendazim 12%+ Mancozeb 63% 30-40 gram per pump and streptocyclin 2 gram at 15 liter of water']",JABALPUR,7,	Plant Protection	,attack black crop farmer fungal gram in information needs regarding,MADHYA PRADESH
8210,"['EARLY VARIETY OF CAULIFLOWER= PUSA MEGHNA, PUSA KARTIK SANKAR, PUSA DEEPALI']",ALWAR,4,Seeds and Planting Material,cauliflower me tell varieties,RAJASTHAN
8211,"['Arhar (Tur/Red Gram)\t1.5\tTonnes\tOther\t3625\t4625\t4625\tRs/Quintal', 'recommended for  market information of ARHAR for DAMOH  minimum-3400 maximum-4625 average-4625 Rs/Quintal']",SAGAR,3,Market Information,about arhar farmer information information know market of to wants,MADHYA PRADESH
8212,['recommended for spray boomflower @ 30 ml per pump .'],DAMOH,5,	Plant Protection	,about crop farmer flower in increasing information know moong to want,MADHYA PRADESH
8213,['Recommended for spray of fipronil 5%sc per pump for control of stem fly attack in soybean crop.'],SAGAR,9,	Plant Protection	,attack control crop farmer fly in information measures need of regarding soybean stem,MADHYA PRADESH
8214,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],ALWAR,7,	Plant Protection	,aphid chiilly control in me tell,RAJASTHAN
8215,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,1,Nutrient Management,castor control dropping flower in me of tell,RAJASTHAN
8216,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF DIMETHOATE 30% EC 2 ML PER LITER WATER']",ALWAR,5,	Plant Protection	,control in loki me pest suking tell,RAJASTHAN
8217,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,9,	Plant Protection	,control cotton fusarium in in me tell wilt,RAJASTHAN
8218,['MICRONUTRIENT 3 G PER LITRE WATER SPRAY'],BARMER,2,	Field Preparation	,arandi groth in me no tell,RAJASTHAN
8219,"['VARIETY OF FODDER BAJRAAR= RAJCO,L- 72, L- 74, K- 599, RAJ BAJRA CHARI, JOINT BAJRA']",BARMER,2,Seeds,bajraar fodder me of tell variety,RAJASTHAN
8220,['RECOMMENDED TO SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP IN DRUMSTICK'],BALASORE,1,	Plant Protection	,drop drumstick flower in,ODISHA
8221,"['VARIETY OF ASHAWGANDHA= JAWAHAR ASHGANDH 20, WS 90130,  SEED RATE= 8-10 KG /HA, YIELD 6-7 Q/HA (SEED, 5-6 Q/HA (ROOT)']",ALWAR,5,Seeds and Planting Material,ashawgandha me of tell variety,RAJASTHAN
8222,['RECOMMENDED TO SPRAY TARGA SUPER 2ML/ LIT WATER FOR CONTROL OF WEED MANAGEMENT IN CHILLIES'],CUTTACK,6,Cultural Practices,chillies in management weed,ODISHA
8223,['SPRAY OF MALATHIAN 50% EC 2 ML PER LITER WATER'],AJMER,4,	Plant Protection	,control in insect me sorgnum tell,RAJASTHAN
8224,"['VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A']",AJMER,6,Seeds,grounut me of tell varities,RAJASTHAN
8225,['recommended for apply to clopyrephos 30 mili/pump'],JABALPUR,1,	Plant Protection	,borer control crop farmer how in know lentil pod to to want,MADHYA PRADESH
8226,['CONTECT IN NEAREST BANK.'],ALWAR,2,Credit,credit i knowledge related to want,RAJASTHAN
8227,"['recommended for spray to imidacloprid 5 mili/pump.', 'RECOMMENDED FOR SPRAY TO fipronil 5% sc 30 mili/pump.']",SAGAR,4,	Plant Protection	,chili control crop farmer how in know pest sucking to to want,MADHYA PRADESH
8228,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],ALWAR,4,Nutrient Management,bhindi in management me micro nutrient tell,RAJASTHAN
8229,['Spray Boom flower 30 ml/15 lit of Water. (NITROBENZINE 20%)DEVI CROP SCIENCE'],RAIGARH,2,Cultural Practices,flowering for mango on,MAHARASHTRA
8230,"['""\t""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532']",ALWAR,5,Training and Exposure Visits,about me tell traning,RAJASTHAN
8231,"['FYM 20 KG, UREA 100 G, SSP 500 G, MOP 300 G, MICRO NUTRIENT 50 G/PLANT']",BARMER,4,Weather,growth in me sapota tell,RAJASTHAN
8232,"['VNR GREEN, VNR SUPER GREEN, VNR SAURABH, VNR DEEPIKA, VNR HARITA', 'VNR DEEPIKA, VNR SUPER GREEN, VNR HARITA', 'VNR SUPER GREEN, VNR HARITA, VNR SAURABH', 'VNR HARITA, VNR SUPER GREEN,VNR SOURABH', 'ARKA ANAMIKA, ARKA ABHAY AND PARBHANI KRANTI', 'VNR-SAURABH, VNR-SUPER GREEN, VNR HARITA']",CUTTACK,2,Cultural Practices,of okra variety,ODISHA
8233,['TATA AIG GENERAL INSURANCE CO. LTD.\t31-07-2017\tPaddy (dhan)\t\t1108.2 FARMER PAID'],DHENKANAL,7,Crop Insurance,bima dhenkanal dist fasala in premium rate yojana,ODISHA
8234,"['to know information about solar energy please  contact to your department of agriculture or please contect rural agriculture extension officer ...', 'To know about more detail solar energy contact on this number 0755-2556566']",MANDLA,9,Government Schemes,about energy farmer information know solar to want,MADHYA PRADESH
8235,"['Yamuna safed 1 (G-1, 150-160 Days, 150-160Q/Ha), Yamuna safed 2 (G-50, 165-170 Days,130-140 Q/ha), Yamuna safed 3 (G-282, 140-150 Days, 175-200 Q/ha), Yamuna safed 4 (G-323, 165-175 Days, 200-250 Q/ha), Godaveri (Sel.2, 140-145 Days, 100-105 Q/ha).']",SAGAR,8,Seeds,crop farmer for garlic information needs regarding variety,MADHYA PRADESH
8236,"['VARIETY OF BRINJAL= AZAD KRANTI, PANT RITURAJ, H 7, PUSA HYBRID 6']",ALWAR,5,Seeds and Planting Material,brinjail me of tell variety,RAJASTHAN
8237,['USE CARBOFURAN 3% G 25-30 KG PER HA'],ALWAR,1,	Plant Protection	,control in me nematode tell vagetables,RAJASTHAN
8238,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],BALASORE,3,	Plant Protection	,in leaves moong of yeelowing,ODISHA
8239,['RECOMMENDED TO SPRAY PLANOFIX 1ML/ 5 LIT WATER FOR CONTROL OF FLOWER DROP  IN HORSE GRAM'],BALANGIR,1,Cultural Practices	,drop flower gram horse in,ODISHA
8240,"['FIVE DAYS RAINFALL', 'THREE DAYS RAINFALL', 'TWO DAYS RAINFALL']",ALWAR,7,Weather,alwer dist information me of tell weahter,RAJASTHAN
8241,['Recommended for to know information about dairy farming  please contact to your animal hospital/veterinary doctor or cotact to 18001801199 .'],DAMOH,9,Government Schemes,about dairy farmer farming information know to want,MADHYA PRADESH
8242,"['Collectorate Compound Sagar (MP), National Highway 86, Civil Line, Gopal Ganj, Sagar, Madhya Pradesh 470001']",SAGAR,7,Weather,address dist farmer information kvk needs regarding sagar,MADHYA PRADESH
8243,['Recommended to spray Chlorpyriphos 20% EC 2.5ml per litre of water to control Grass hopper infestation in Paddy'],BALANGIR,8,	Plant Protection	,grass hopper in infestation paddy,ODISHA
8244,['RECOMMENDED TO SPRAY FANTAC PLUS @ 7 ML / 15 LIT OF WATER'],DHENKANAL,9,	Plant Protection	,cowpea flowering hormone in,ODISHA
8245,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],AJMER,9,	Plant Protection	,aphid ber control in me tell,RAJASTHAN
8246,['recommended for spray to Clodinafop Propargyl 15% WP dose : 160 gm/acre'],SAGAR,1,Weed Management,control crop farmer how in know o to want weeds wheat,MADHYA PRADESH
8247,['SPRAY FANTACPLUS @ 1ML/1LIT WATER FOR GROWTH OF BRINJAL'],BALASORE,1,Fertilizer Use and Availability,brinjal growth of,ODISHA
8248,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],AJMER,1,	Plant Protection	,contro insect me tell,RAJASTHAN
8249,['CONTECT NUMBER OF PANTH KRISHI BHAWAN IS 0141-5116242'],BARMER,8,Market Information,bhawan contect krishi me number of panth tell,RAJASTHAN
8250,"['Ooty-1, Early Nantes and New Korda are suitable for cultivation in hilly areas.']",SAGAR,1,Vegetative Propagation and Tissue Culture,crot farmer know to variety want,MADHYA PRADESH
8251,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],AJMER,6,	Plant Protection	,about me plant protection tell,RAJASTHAN
8252,"['10 to 12mm Rainfall for next 3-days,12th,13th 14th Sept.', 'No rainfall for next 5-days as per IMD', 'Rainfall=32mm-18Aug,24mm-19Aug,14mm-20-Aug,12mm-21Aug,18mm-22Aug', '3mm-9th Aug,17mm-10th Aug,30mm-11th Aug']",BALANGIR,9,Weather,balangir for muribahal rainfall,ODISHA
8253,['Spray Plano fix 4 to 5 Ml at 15 liter of water.'],SAGAR,9,Cultural Practices,control crop drop flower how in pea pigeon problem to,MADHYA PRADESH
8254,"['BIKANER (GRAIN)\tJEERA (CUMIN)\t16400RS/QT.', 'BEAWAR  ISABGOLE 9500PER QUIENTAL']",BARMER,5,Market Information,information market me of tell,RAJASTHAN
8255,"['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION', 'USE  Fipronil 0.3% GR 12-15 KG PER HA']",ALWAR,6,	Plant Protection	,control cotton me of tell termite,RAJASTHAN
8256,['Dr.B.K. Tiwri Programme Coordinator Krishi Vigyan Kendra\r\nNavgaon Distt. Alwar - 301 025 01468-275276 - - 09461194750'],ALWAR,6,Market Information,about kendra krishi me tell vigyan,RAJASTHAN
8257,['CONTECT NUMBER OF FISHERIES DEPARTMENT ALWAR IS 0144-2330209'],ALWAR,3,Fish  Marketing,alwar contect department fisheries me number of tell,RAJASTHAN
8258,['Take a plant sample to the Agriculture office and consult as no other symptoms are noticed by the farmer'],BALANGIR,8,Cultural Practices,after and drying lodging paddy plants,ODISHA
8259,"['VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6588', 'VARIETY OF BT COTTON = TULSI-4,TULSI-118, MRCH 7017, MRCH 6304, ANKUR 3028, BIO SEED 6488']",ALWAR,5,Varieties,bt cotton me of telll variety,RAJASTHAN
8260,['recommended for  market information of soybean for Begamganj 2400 Tones  minimum 2850 - maximum-2700  average-2700 Rs/Quintal \r\nBegamganj\t01/05/2017\t13.3\tYellow\t2400\t2850\t2700'],SAGAR,5,Market Information,about begamganj farmer information information know market of soybean to wants,MADHYA PRADESH
8261,['USE QUINOLPHOS 1.5% DUST 25 KG PER HA MIX IN SOIL'],BARMER,3,Cultural Practices	,control field in me tell termite,RAJASTHAN
8262,['FOR DETAIL INFORMATION ABOUT GOVERNMENT SCHEME  PLEASE VISIT YOUR TALUKA AGRICULTURE OFFICER'],RAIGARH,7,Government Schemes,about asking government scheme,MAHARASHTRA
8263,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER FOR CONTROL OF WHITE RUST DISEASE IN MUSTARD'],ALWAR,2,	Plant Protection	,control disease in me mustard of rust tell white,RAJASTHAN
8264,['USE IMIDACHLOPRID 17.8% SL 1 LITER PER HA WITH IRRIGATION FOR CONTROL OF TERMITE'],ALWAR,1,	Plant Protection	,control in me tell trmit wheat,RAJASTHAN
8265,['Recommended for to control of fungal attack use copper oxy chloride 50% WP (Blue copper or Dhanucop) or Copper Oxychloride 50 WG (blueget 727 sumil chemicals) 40 gram and streptocyclin 2 gram at 15 liter of water'],JABALPUR,4,	Plant Protection	,attack control crop farmer fungal how in information moong needs of regarding to,MADHYA PRADESH
8266,['Ans:- recommended for foliar application of IFFCO0:52:34 water soluble fertilizer @ 100 gm/pump.'],SAGAR,4,	Plant Protection	,about colocasia farmer growth how increase information know of to to want,MADHYA PRADESH
8267,"['DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL', 'CONTACT TO AG. DEPTT. FOR SOIL TESTING', '????? ???? ???? ??? ?? ?????? ?? ???? ?? ??? 5-6 ??? ?? 6-9 ??? ???? `V` ???? ?? ????? ????? 500 ????? ?????? ?? ????? ?????? \r\nDEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL']",BARMER,2,Government Schemes,about me soil tell testing,RAJASTHAN
8268,['SPRAY STREPTOCYCLINE @ 3GM + COPPER OXYCHLORIDE @ 35GM/15LIT WATER FOR ROOT ROT IN OKRA'],BALANGIR,2,	Plant Protection	,in okra root rot,ODISHA
8269,['When your crop become 25 to 30 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per acar for broad leaf weeds.'],JABALPUR,3,Weed Management,about control crop farmer how in information know moong to to want weeds,MADHYA PRADESH
8270,"['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER', '?\r\nSPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER', 'SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER \r\nSPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER']",AJMER,9,	Plant Protection	,bacterial blight control disease in me of tell tomato,RAJASTHAN
8271,['Use recommended dose of chlorpyriphose 1.5 dust @ 25 kg / hectare.'],JABALPUR,2,	Plant Protection	,bihar caterpillar control farmer hairy in information measures needs of regarding wheat,MADHYA PRADESH
8272,['0141-5116242'],BANSWARA,3,Weather,bhawan contact krishi me no pant tell,RAJASTHAN
8273,['RECOMMENDED TO SPRAY CHLOROPYRIPHOUS 2 ML/ LIT WATER FOR CONTROL OF SWARMING CATER PILLAR IN PADDY'],BALASORE,8,	Plant Protection	,cater in paddy pillar swarming,ODISHA
8274,['SPRAY  OF PROPICONAZOLE 1 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,control crop in me rust tell wheat yellow,RAJASTHAN
8275,['18002095858= TOLL FREE NO. BAJAJ INSURENCE COM.CROP INSURENCE'],BARMER,8,Crop Insurance,crop insurence me tell,RAJASTHAN
8276,"['YOU CAN NOT USE HERBICIDE IN STANDING CROP OF COTTPN', 'YOU CAN NOT USE HERBICIDE IN STANDING CROP OF COTTON']",ALWAR,6,Weed Management,control cotton me of tell weed,RAJASTHAN
8277,['CONTECT FOR 0145 268 1001'],AJMER,2,Government Schemes,contect me numbar tabiji tell,RAJASTHAN
8278,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,8,	Plant Protection	,control cut in me peanut tell worm,RAJASTHAN
8279,['wheat price in alwar 1575/q.'],ALWAR,6,Market Information,about alwar in me of price tell wheat,RAJASTHAN
8280,"['SPRAY OF MENCOZEB 2 GM PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",BARMER,2,	Plant Protection	,in jeera me plant protection tell,RAJASTHAN
8281,['Pandymethylene\r\n1.0 Stamp 30 E.C. 3.3 l Within 3 days of sowing or clodinaafap\r\n0.6 TAPICH 15W 300 gms after 25-30 days of sowing'],JABALPUR,9,Weed Management,about attack control crop farmer gram how in information know of to to wants weed,MADHYA PRADESH
8282,"['LIGHT RAINFAL POSIBILITY IN NEXT 5 DAY,BUT LIGHT CLOUDY']",BARMER,5,Weather,barmer in me report tell weaher,RAJASTHAN
8283,['Recommended for to control of fungal attack in   lentil crop use Validamycin 25ml at 15 liter of water'],SAGAR,1,	Plant Protection	,about attack control crop farmer fungal how in in information know lentin to to wants,MADHYA PRADESH
8284,"['APPLY DAP @ 35 KG + MOP @ 27 KG + UREA @ 4 KG / ACRE', 'APPLY UREA @ 15 KG + MOP @ 10 KG / ACRE\r\nDHANZYME GRANULES  (8 KG/ACRE)\r\nFIRST APPLICATION \xe2\x80\x93 20-25 DAYS AFTER TRANSPLANTING\r\nSECOND APPLICATION \xe2\x80\x93 55-60 DAYS AFTER TRANSPLANT', 'APPLY UREA @ 25 KG / ACRE', 'APPLY DAP @ 35 KG + UREA @ 4 KG + MOP @ 27 KG / ACRE', 'APPLY DAP @ 35 KG + MOP @ 27 KG + UREA @ 4 KG / ACRE AS BASAL', '35 KG DAP + 27 KG MOP + 4 KG UREA PER ACRE', 'APPLY UREA @ 35 KG + MOP @ 10 KG / ACRE', 'APPLY UREA @ 35 KG + UREA @ 9 KG / ACRE AS TOP DRESSING', 'APPLY UREA @ 5 KG + MOP @ 3 KG IN NURSERY BED', 'RECOMMENDED TO APPLY DAP @ 35 KG + MOP @ 27 KG + UREA @ 3 KG /ACRE AS BASAL', 'APPLY UREA @ 35 KG / ACRE', 'APPLY UREA @ 35 KG + MOP @ 15 KG / ACRE']",BALASORE,7,Nutrient Management,in management nutrient paddy,ODISHA
8285,"['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10-15 + humic acid 15-20 ml +liquid sulpher 35-40  ml per pump.', 'Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10 + humic acid 30 ml +liquid sulpher 40  ml per pump.']",JABALPUR,8,	Field Preparation	,about and crop farmer flower fruit grouth information know of to urd want,MADHYA PRADESH
8286,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,1,	Field Preparation	,control droping flower gram in me of tell,RAJASTHAN
8287,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],BARMER,1,Nutrient Management,easabgol management me nutrient tell,RAJASTHAN
8288,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],ALWAR,8,Nutrient Management,deficiency in lemon me nutrients tell,RAJASTHAN
8289,['Spray Actra 5 gm + M-45 30 gm/15 Lit of Water.'],THANE,1,	Plant Protection	,and attack chilly disease fungal in of pest sucking,MAHARASHTRA
8290,['SPRAY MICRONUTRENT 4ML/LTR WATER'],AJMER,8,Nutrient Management,black control gram in leaf me tell yellow,RAJASTHAN
8291,['recommended for Seed rate of pigonpea is 10-12kg/acer'],SAGAR,5,	Field Preparation	,about farmer information know of pigonpea rate seed to wants,MADHYA PRADESH
8292,['Recommended for Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.'],SAGAR,1,	Plant Protection	,about control crop farmer fly how in information know to to want wheat white,MADHYA PRADESH
8293,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],BARMER,2,Weather,in jhulsa me tell tree,RAJASTHAN
8294,"['recommended for to control caterpillar in GRAM spray to Emamectin benzoate 5 % 7-8 gram/pump', 'recommended for to control caterpillar in gram spray to Emamectin benzoate 5 % 7-8 gram/pump']",SAGAR,1,	Plant Protection	,about caterpillar control crop farmer gram how in information know to to want,MADHYA PRADESH
8295,['SPRAY OF NPK 10 GM/LITRE'],AJMER,2,Fertilizer Use and Availability,ggrowth in lucerne me tell,RAJASTHAN
8296,"['Recommended for T-9, panth-u-30, khargone-3, basant bahar, Jawahar urd-2, jawahar urd-3, TPU-4 are urd verities.']",SAGAR,6,Varieties,about black crop farmer gram know of to varieties wants,MADHYA PRADESH
8297,['Recommended for to increase size and production of wheat foliar application of IFFCO 0:52:34 water soluble fertilizer @ 100 gm/pump.'],JABALPUR,1,Fertilizer Use and Availability,about and farmer how increase information know of peroduction size to to wants wheat,MADHYA PRADESH
8298,['RECOMMENDED FOR SPRAY TO TRAICYCLAZOL 15 MILI/PUMP.'],JABALPUR,2,	Plant Protection	,about attack control crop farmer fungal how in information know to to wants wheat,MADHYA PRADESH
8299,"['To prepare the plant for chilli, choose a place where there is sufficient amount of sunshine and the sowing of seeds should be 20 cm high in the soil of 3x1 meter size. At the time of preparing of the chilli plant, add 2-3 baskets of Vermi compost or fully rotten cow dung 50 gm phatate medicines / kari mud. 1 day before sowing, carbendazim medicine is 1.5 gm / kg. Touche in water at the rate of water. The next day, sowing the seeds by making 0.5-1 cm deep drains at 5 cm distance in Kheri.']",SAGAR,4,	Field Preparation	,chilli nursery of preparation,MADHYA PRADESH
8300,['Recommended for to grouth of flower and fruit spray Amino acid +folic acid(fantac plas )10-15 + humic acid 15-20 ml +liquid sulpher 35-40  ml per pump.'],JABALPUR,5,Cultural Practices,about and crop farmer flower fruit grouth information know moong of to want,MADHYA PRADESH
8301,"['Weed crops cause much more damage than the estimates of crops. Therefore, for the production of proliferation, proper use of other modern sleepers should be done while running dry-loose, kulpa and dora etc.. Sleeping vasalin 800 ml 1000 ml By making a solution of 250 liters of water per acre, spraying the soil with moisture before yielding land gives good results.']",JABALPUR,3,Varieties,about crop farmer in information know management to urd want weed,MADHYA PRADESH
8302,"['Recommended for spray Imidacloprid( confidor) 17.8 % SL. @5-7 ml./pump .', 'Recommended for Spray Daiphenthuran (Pegasas) 10 to 15 gram at per  pump.', 'Recommended for onion Spray imidaclorprid 17.8%SL 5 to 6 ml per pump.']",SAGAR,1,	Plant Protection	,control crop fly how in onion to white,MADHYA PRADESH
8303,"['CONTACT VETANAIRY OFFICER,BALASORE DIST FOR DISEASE MANAGEMENT OF COW']",BALASORE,9,Disease Management,cow disease management of,ODISHA
8304,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],BANSWARA,3,	Plant Protection	,control in insect jayad me moong of tell,RAJASTHAN
8305,['SOWING TIME OF ALORE VERA-JUNE-JULY'],BARMER,2,Cultural Practices,alore me of sowing tell time vera,RAJASTHAN
8306,"['Recommended for  seed rate of paddy for transplanting 12-16kg/hac., for biyasi 48-60kg/hac']",JABALPUR,5,Crop Insurance,about farmer information know of paddy rate seed to want,MADHYA PRADESH
8307,['CONTACT NEAREST BANK'],CUTTACK,1,Government Schemes,card credit kisan regarding,ODISHA
8308,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],ALWAR,9,	Plant Protection	,back citrus control dia in me of tell,RAJASTHAN
8309,['variety of sponge gourd crop :alok(vnr seebs) harita(mayco seeds'],SAGAR,5,	Plant Protection	,about crop farmer gourd information know of sponge to variety want,MADHYA PRADESH
8310,['SITAMBAR-OCT MONTH.'],ALWAR,2,Seeds and Planting Material,me planting strawberry tell time,RAJASTHAN
