,answers,district,month,query-type,questions,state
6565,['APPLICATION OF 10:26:26 2 BAG + UREA 20 KG + MICRO NUTRIENTS 10 KG/ACRE'],RATNAGIRI,8,Fertilizer Use and Availability,about asking cane doses suger,MAHARASHTRA
6566,['BARMER MANDI ME TARAMIRA KE BHAV =3700 RS./QUT.'],BARMER,4,Market Information,barmer in information market me of taramira tell,RAJASTHAN
6567,['SPRAY MICROLLA 30 ML + BAVISTIN 30 GM /15 LITER WATER.'],THANE,2,Nutrient Management,cucumber in yellowing,MAHARASHTRA
6568,"['VARIETY OF  CORIANDER FOR GRREN LEAF  = SADHNA, SWATI, PANT HARITIMA']",ALWAR,9,Vegetative Propagation and Tissue Culture,coriander green leaf me of tell variety,RAJASTHAN
6569,['RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY'],BARMER,6,Weather,information me tell weather,RAJASTHAN
6570,['PLANTING TIME OF ALOE VERA IS MARCH AND JULY'],AJMER,3,Seeds and Planting Material,about aloe me of planting tell time vera,RAJASTHAN
6571,"['RECOMMENDED TO SPRAY ROGOR 2ML/ LIT WATER FOR CONTROL OF APHID PEST IN GREENGRAM', 'RECOMMENDED TO SPRAY ROGOR 2ML/LIT WATER FOR CONTROL OF APHID PEST IN GREENGRAM']",CUTTACK,3,	Plant Protection	,aphid greengram in pest,ODISHA
6572,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,4,Bio-Pesticides and Bio-Fertilizers,chilli control droping flower me of tell,RAJASTHAN
6573,['FARVARI MARCH'],AJMER,3,	Plant Protection	,ber me of sowing tell time,RAJASTHAN
6574,"['VARIETY OF CHILLI = RCH 1, NP-46, PUSA JWALA, MATHANIA LONG, PANT C 2']",AJMER,4,	Field Preparation	,chilli me of sowing tell time,RAJASTHAN
6575,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],BANSWARA,1,	Plant Protection	,cauliflower control me of pest tell,RAJASTHAN
6576,"['Spray quinalphos 25 EC @ 20-25 ml per pump.\r\nTriazophos 35 % + Deltamethrin 1 % EC 30-40 ml per pump', 'Triazophos 35 % + Deltamethrin 1 % EC 30-40 ml per pump']",MANDLA,4,	Plant Protection	,caterpillars control crop farmer in information larva measures moong needs of regarding,MADHYA PRADESH
6577,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",ALWAR,7,	Plant Protection	,bottle control cut gourd in me tell worm,RAJASTHAN
6578,['control for catterpiller in gram crop spray of Troijofos 40 EC (??-40ml /pump ) 1000 Ml. / hac.'],DAMOH,2,	Plant Protection	,about caterpillars control crop farmer gram how in information know to to want,MADHYA PRADESH
6579,['USE TRICHODERMA 2.5 KG PER 500 KG FYM'],BARMER,6,	Field Preparation	,control disease for me of soil tell treatment wilt,RAJASTHAN
6580,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",AJMER,7,	Plant Protection	,aphid control in me moong of tell,RAJASTHAN
6581,['USE IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER IN ROOT ZONE'],ALWAR,1,	Plant Protection	,controle in mango me tell termiet,RAJASTHAN
6582,"['Lentils should be sown from the first week of October to the first week of November, when moisture is available in uneven condition. In the irrigated stage, the lentil leaves should be from 15 October to 15 November.']",SAGAR,9,Sowing Time and Weather,crop farmer information lentil need of regarding sowing time,MADHYA PRADESH
6583,['The Sms Advisory Facility For Mandi Rate And Different Crops Will Be Start As Soon As Possible.'],SAGAR,3,Market Information,advisory and crops different facility farmer for mandi rate sms start the to want,MADHYA PRADESH
6584,['MAI JUN SOWING TIME OF HALDI'],ALWAR,3,	Field Preparation	,haldi me of sowing tell time,RAJASTHAN
6585,['CONTECT IN KVK.'],AJMER,1,Government Schemes,i to vermicompost want,RAJASTHAN
6586,['Recommended for dusting of fipronil 6 to 68kg per acer for control of podeniya  attack in soybean crop.'],SAGAR,8,	Plant Protection	,attack control crop farmer in information measures need of podeniya regarding soybean,MADHYA PRADESH
6587,['recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.'],SAGAR,8,Fertilizer Use and Availability,about crop farmer growth how increase information know of pea pigeon to to want,MADHYA PRADESH
6588,"['VARIETY OF GUAR = RGC-1066, RGC-936, RGC-1017, RGC 1055, RGC 1038, HG-365, HG 2-20']",ALWAR,7,Varieties,guar me of tell vareity,RAJASTHAN
6589,['RAIN POSSIBILITY IN NEXT 1-2 DAYS AND CLOUDY SKY'],BARMER,1,Weather,1 2,RAJASTHAN
6590,['Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.'],DAMOH,1,	Plant Protection	,attack bengal caterpillars control crop farmer gram in information measures need of regarding,MADHYA PRADESH
6591,['Recommended for Spray liquid sulpher 40 ml per pump and maintain fume in evening time all around the field.'],SAGAR,1,Nutrient Management,crops farmer from frost information needs of protect regarding,MADHYA PRADESH
6592,['15 FARVARI 15 MARCH SOWING TIME'],BARMER,2,	Plant Protection	,kakari khera me of sowing tell time,RAJASTHAN
6593,['CONTACT NUMBER OF BEEKEEPING TRAINING CENTRE BHARATPUR- 9414222347'],ALWAR,6,Weather,beekeeping in me tell,RAJASTHAN
6594,"[""Don't use of any hebicides in flowering stage or 30 to 40 DAS in crop, because chance of flower drop in your crop.""]",SAGAR,7,Weed Management,30 40 about das farmer flowering herbicide in information know of or stage to to use wants,MADHYA PRADESH
6595,['Spray emamectin benjoate or corajan or fem 10 ml at 15 liter of water or indoxa carb 10 ml at 15 liter of water.'],JABALPUR,1,	Plant Protection	,about caterpillars control crop farmer how in information know pea to to wants,MADHYA PRADESH
6596,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER', '?????? 75% ??.??. ??? ?? 2 ????? ????? ???? ???? ??? + ???????? 2 ????? ????? ???? ???? ??? ??? ?? ?????? ?????']",AJMER,5,Nutrient Management,about controle in me tell yellowing,RAJASTHAN
6597,['Profenofos 40% + Cypermethrin 4% EC 40 Ml. /pump. Rate of spray. |'],DAMOH,7,	Plant Protection	,about control crop cutworm farmer how in information know to to urd want,MADHYA PRADESH
6598,['RECOMMENDED TO SPRAY CHLORPYRIFOS /QUINALPHOS @ 2.5 ML / 1 LIT OF WATER'],CUTTACK,4,	Plant Protection	,citrus folder in leaf,ODISHA
6599,['test call'],JABALPUR,3,Weather,call test,MADHYA PRADESH
6600,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],AJMER,7,	Plant Protection	,control in insect me rose tell,RAJASTHAN
6601,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER']",BANSWARA,6,	Plant Protection	,bhindi control cut in me tell worm,RAJASTHAN
6602,['SPRAY STREPTOCYCLINE @ 3GM + COPPER OXYCHLORIDE @ 40GM/15LIT WATER FOR CROWN ROT IN GROUNDNUT'],BALASORE,3,	Plant Protection	,crown groundnut in rot,ODISHA
6603,"['FYM-25 KG ,SSP-300 GM/PLANT']",BARMER,4,Fertilizer Use and Availability,bail growth in me tell,RAJASTHAN
6604,['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER'],ALWAR,4,	Plant Protection	,aphid bnean cluster control in me tell,RAJASTHAN
6605,"['Nim ki 10-12 kilo pattiyo, 200 li?ar Pani Men 4 din tak bhigonye. Pani hara pila hone par ise chankar, ek eka? ki phasal par chi?akav karane se illi ki rokatham hoti hai. Is au?adhi ki tivrata ko ba?hane hetu besram, dhatura, tambaku aadi ke patton ko milakar ka?a banane se au?adhi ki tivrata ba?h jati hai aur yah dava kai prakar ke ki?on ko na?? karane me yah dava upayogi sidh hai.']",SAGAR,8,	Plant Protection	,about bean control defoliators farmer how in information know to to urd wants,MADHYA PRADESH
6606,['JODHPUR (GRAIN)\tTARAMIRA\t3800 RS/QT'],BARMER,3,Market Information,about mandi me of rate taramira tell,RAJASTHAN
6607,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],BALASORE,2,	Plant Protection	,bitter gourd in leaves yellowing,ODISHA
6608,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],BARMER,2,	Plant Protection	,control in me mint root rot tell,RAJASTHAN
6609,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",AJMER,6,	Plant Protection	,controle cotton in me pest tell,RAJASTHAN
6610,"[""Dear in your's rahatgarh mandi the rate of lentil crop is Rs.3750 minimum/quintal Rs.3900 maximum/quintal Rs.3825 average/quintal.""]",SAGAR,3,Market Information,about at farmer know lentil madhya mandi of of pradesh rahatgarh rate to wants,MADHYA PRADESH
6611,"['SPRAY TATA MASTER @ 3GM/1LIT WATER FOR FUNGAL INFECTION IN ONION', 'SPRAY COPPER OXYCHLORIDE @ 3GM/1LIT WATER FOR FUNGAL INFECTION IN ONION']",CUTTACK,1,	Plant Protection	,fungal in infection onion,ODISHA
6612,['Recommended for Use copper oxy chloride 45 gram and steptrocyclin 2 gram at 15 liter of water'],DAMOH,2,	Plant Protection	,attack control crop fungal how in of potato to,MADHYA PRADESH
6613,['SPRAYB OF ACEPHATE 2 GM/LITRE'],ALWAR,4,	Plant Protection	,control in me millon musk tell thrips,RAJASTHAN
6614,"['pea, sagar, 11/09/2017\r\nMinimum 1785 Rs/Quintal, Maximum 2600 Rs/Quintal, Modal price 2450 Rs/Quintal']",SAGAR,9,Market Information,farmer information mandi market needs of pea rate regarding,MADHYA PRADESH
6615,['FENUGREEK MANDI RATE 3142 RUPEES PER QT.'],BARMER,3,Market Information,fenugreek mandi me rate tell,RAJASTHAN
6616,['RECOMMENDED TO APPLY 2ML MALATHION + 30GM JAGGERY + 1LIT WATER'],BALASORE,5,	Plant Protection	,fly fruit gourd in ridge,ODISHA
6617,['50% SUBSIDY.'],ALWAR,1,Government Schemes,fruit me on orchad subsidy tell,RAJASTHAN
6618,['Recommended for Spray emamectin benjoate 10 gram at 15 liter of water.'],MANDLA,5,	Plant Protection	,caterpillars control crop gram green how in to tobacco,MADHYA PRADESH
6619,['KEEP HONEY BOX IN THE FIELD'],CUTTACK,1,Cultural Practices	,for good in mustard pollination,ODISHA
6620,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],BARMER,1,Nutrient Management,arandi control dropping flower in me of tell,RAJASTHAN
6621,['FOR CONTROL OF SUCKING PEST ON LADY FINGER  SPRAY ADMIRE 5 GM /15 liter water BAYER CROP SCIENCE'],THANE,3,	Plant Protection	,about asked attack finger lady of on pest sucking,MAHARASHTRA
6622,['Recommended for to know information about a solar pumps contact to dial 0755-2556566'],SAGAR,5,Government Schemes,about farmer information know pumps solar to wants,MADHYA PRADESH
6623,['RECOMMENDED TO SPRAY FANTAC PLUS 7ML/15 LIT WATER AT AFTERNOON'],DHENKANAL,1,	Plant Protection	,drop fruit in watermelon,ODISHA
6624,['RECOMMENDED TO SPRAY UREA 4 GM/ LIT WATER FOR BETTER GROWTH AND GERMINATION OF SEED IN PADDY'],BALASORE,7,Cultural Practices,and better for germination growth in of paddy seed,ODISHA
6625,"['RECOMMENDED TO SPRAY 2,4 D SODIUM SALT @ 500 GRAM / ACRE', 'SPRAY Monohydrate Sodium Salt of 2,4-Dicholorophenoxy Acetic (Weedclean) @ 2GM/1LIT WATER FOR ALGAL BLOOM IN PADDY']",CUTTACK,8,Cultural Practices,algal bloom in paddy,ODISHA
6626,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],ALWAR,8,	Plant Protection	,control cotton disase in me tell,RAJASTHAN
6627,['JODHPUR (GRAIN)\tGRAM\t4550 RU / Q'],AJMER,3,Market Information,infometion market me tell,RAJASTHAN
6628,"['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER', 'SPRAY OF MULTIPLEX POWDER 60 GM/ 15 LITER WATER']",ALWAR,4,Nutrient Management,deficiency me nutrients tell,RAJASTHAN
6629,['SPRAY IMIDACHLORPRID (TATAMIDA) @ 6ML/15LIT WATER FOR LEAF MINOR IN CITRUS'],BALASORE,5,	Plant Protection	,citrus in leaf minor,ODISHA
6630,"['Recommended for to control sucking pest in moong crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'Recommended for Spray Thiomethoxam 25% WG (Actara 25 WG - Syngenta) 4 to 8 ml  per pump.']",JABALPUR,4,	Plant Protection	,about control farmer how in information know moong pest sucking to to wants,MADHYA PRADESH
6631,['SPRAY ETHOPHONE @ 2ML/1LIT WATER FOR FEMALE FLOWER IN RIDGE GOURD'],BALASORE,4,Cultural Practices,female flower for gourd in ridge,ODISHA
6632,['DRENCHING OF CARBENDAZIM 2 GM PER LITER'],ALWAR,6,	Plant Protection	,control guava in me root rot tell,RAJASTHAN
6633,['Reccomonded: Spray Plano fix 4 to 5 Ml at 15 liter of water.'],JABALPUR,4,	Plant Protection	,chillie control crop drop farmer flower in information measures need of problem regarding,MADHYA PRADESH
6634,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],AJMER,8,	Plant Protection	,control me of pest tell,RAJASTHAN
6635,['Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.'],DAMOH,8,	Plant Protection	,caterpillar control crop farmer in information measures need of regarding soyabean,MADHYA PRADESH
6636,"['MOTH MANDI RATE 3175 RUPEES PER QT.', 'MOTH MANDI RATE 2887 RUPEES PER QT.', 'MOTH MANDI RATE 2950 RUPEES PER QT.', 'MOTH MANDI RATE 3100 RUPEES PER QT.', 'MOTH MANDI RATE 3200 RUPEES PER QT.', 'MOTH MANDI RATE 3300 RUPEES PER QT.']",BARMER,1,Market Information,mandi me moth rate tell,RAJASTHAN
6637,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],AJMER,7,Cultural Practices,about brinjal controle in me tell yellowing,RAJASTHAN
6638,['IRRIGATION INTERVEL DEPAND ON SOIL MOISTURE.'],BARMER,4,Cultural Practices,bajra crop in intervel irrigation me tell,RAJASTHAN
6639,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,3,Nutrient Management,control droping flower me of papaya tell,RAJASTHAN
6640,"['T-9\r\n\r\n\r\n  70-75\r\n\r\n\r\n10-11\r\n\r\n\r\nThe seeds are small, light black,\r\nPlant Medium Height\r\n\r\nPant U-30\r\n\r\n\r\n70,\r\n\r\n\r\n10-12\r\n\r\n\r\nThe grains of black medium,\r\nSuitable for Yellow Mousewal areas.']",MANDLA,3,Varieties,about farmer information know to urd varities want,MADHYA PRADESH
6641,['SPRAY OF ACEPHATE + MENCOZEB 2 GM/LITRE'],BARMER,2,	Plant Protection	,control curul garlic in leaf me tell,RAJASTHAN
6642,['Sulphuric acid is a possibility of frost crop of 0.1 percent (1.0 mL / L.) Spray the evening.'],SAGAR,1,Cultural Practices	,control crop effect farmer frost in information lentil measures need of regarding,MADHYA PRADESH
6643,"['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER']",ALWAR,5,	Plant Protection	,chillies control in insect me tell,RAJASTHAN
6644,['SPRAY OF HEXACONAZOLE 5% EC 2 ML PER LITER WATER'],BARMER,2,	Plant Protection	,blight controle cumin in me tell,RAJASTHAN
6645,"['VARIETY OF AMERICAN NARMA H.H -16, MARU VIKAS, RST-9, BIKANERI NARMA']",ALWAR,5,Varieties,american me narma of tell variety,RAJASTHAN
6646,['spray supar confidor 6 ml + M-45 40 gm / 15 litter of water for controlling sucking pest on bottle gourd'],RAIGARH,1,	Plant Protection	,attack bottle gourd of on pest sucking,MAHARASHTRA
6647,"['recommended for to control sucking pest in  crop spray imedachlorprid 5-7 ml at 15 liter of water.', 'recommend for spray to Imidacloprid 17.8 % SL 5-7 ML/PUMP']",DAMOH,9,	Plant Protection	,about brinjal control crop farmer how in information know pest sucking to to want,MADHYA PRADESH
6648,['Recommended for to control over growth in gram crop spray lihosin @20-25ml/pump'],MANDLA,1,	Plant Protection	,control crop farmer gram growth how in information needs over regarding to,MADHYA PRADESH
6649,"['VARITEY OF CITRUS= KAGAJI NIMBU ,BARAHMASI']",ALWAR,7,Cultural Practices,citrus me of tell varitey,RAJASTHAN
6650,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER + MENCOJEB 2GM PAR LITAR WATER'],BARMER,2,	Plant Protection	,about controle cumin in me tell yellowing,RAJASTHAN
6651,['Soybean sowing during the first week of June from the last week of June to 4-5 inches of rain.'],SAGAR,7,Sowing Time and Weather,crop farmer information need of regarding sowing soybean time,MADHYA PRADESH
6652,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],AJMER,7,Nutrient Management,in lemon management me micro nutrient tell,RAJASTHAN
6653,['Trizophose 40% EC 1000 ml Spray per ha.'],SAGAR,1,	Plant Protection	,about bengal control defoliators farmer garm how in information know to to wants,MADHYA PRADESH
6654,['2010 RU /QU'],BARMER,4,Weather,jodpur mandi me rate tell wheat,RAJASTHAN
6655,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],ALWAR,3,	Plant Protection	,chillies control cut in me tell worm,RAJASTHAN
6656,['Recommended for Spray imidachloprid 17.8%SL 5 to 7 ml per pump.'],SAGAR,5,	Plant Protection	,about control crop farmer gran green in know of pest sucking to want,MADHYA PRADESH
6657,['recommended for  about market information of wheat due to some technical reasons we are unable to send market information o'],JABALPUR,8,Market Information,about farmer gram information information know market of to want,MADHYA PRADESH
6658,['JODHPUR (GRAIN) MANDI IN RATE OF   GOWAR 3285 RS/QT'],BARMER,2,Market Information,about guar in jodhpur mandi me of rate tell,RAJASTHAN
6659,"['NO RAINFAL IN NEXT 5 DAY,BUT LIGHT CLOUDY']",BARMER,2,Weather,inbarmer me report tell weathe,RAJASTHAN
6660,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],AJMER,8,	Plant Protection	,control coriander dis fungal in me tell,RAJASTHAN
6661,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER'],BARMER,4,	Plant Protection	,bacterial blight control disease in me orange tell,RAJASTHAN
6662,"['Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.', 'Spray Dimethoate (Rogar) or Triazophos 40 ml per pump.']",SAGAR,8,Weather,control crop fly how in soyabean to white,MADHYA PRADESH
6663,"['dimethoate 30 EC 500 ml/ha', 'Spray fipronil 5 % (Regent)@ 25 ml at 15 liter of water.', 'imedachlorprid 5-7 ml at 15 liter of water.']",SAGAR,3,	Plant Protection	,about control crop cucumber farmer how in information know pest sucking to to want,MADHYA PRADESH
6664,['CONTACT NEAR BANK/COPERATIVE BANK'],BARMER,6,Crop Insurance,about corp insurance me tell,RAJASTHAN
6665,['SPRAY OF RIDOMIL MZ(METALEXYL+MENCOZEB) 2 GM PER LITER WATER FOR CONTROL'],BARMER,1,	Plant Protection	,chacha control cumin diease in me tell,RAJASTHAN
6666,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],ALWAR,2,	Plant Protection	,about control gram in me pest tell,RAJASTHAN
6667,"['VARIETY OF BHINDI---ARKA ANAMIKA,UTKALA GOURAV,ARKA ABHYA', 'VARIETY OF BHINDI---ARKA ANMIKA,UTKALA GOURAV, BARSHA, VIJYA', 'VARIETY OF BHINDI = VARSHA UPHAR,PARBHANI KRANTI, PUSA MAKHMALI, ARKA ANAMIKA']",BALANGIR,3,Cultural Practices,bhindi of variety,ODISHA
6668,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",ALWAR,5,	Plant Protection	,bhindi control in me of pest sucking tell,RAJASTHAN
6669,['Sowing\r\n500 g of seeds is required for planting one ha. June-September is the best season for planting.  Avoid planting in rainy season.'],SAGAR,6,Seeds and Planting Material,farmer know of of papaya season seed sowing to want,MADHYA PRADESH
6670,['USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION'],ALWAR,1,	Plant Protection	,control me tell termite,RAJASTHAN
6671,['Recommended for foliar application of IFFCO N:P:K  0:0:50 (50 % potash and 17 % Sulpher) water soluble fertilizer @ 80-100 gm/pump AND Zinc Sulphate Mono hydrate (zinc 33% and sulphur 15%)2 gram per liter of water'],SAGAR,3,Nutrient Management,farmer growth how increase information needs of potato regarding to,MADHYA PRADESH
6672,"['Recommended for seed treatment of gram treat the seed with tricoderma viridi 5gm/kg of seed or thiram 3gm/kg of seed', 'Recommended for seed treatment of urd treat the seed with thiram or captan or mancozab or monosan @2-2.5gram/kg of seed.']",DAMOH,7,Seeds,about crop farmer information know of seed to treatment urd wants,MADHYA PRADESH
6673,['Recommended for Spray liquid sulpher 40 ml per pump and maintain fume in evening time all around the field.'],SAGAR,1,Cultural Practices	,crop farmer from frost gram how konw my protect to to want,MADHYA PRADESH
6674,['Recommended for N: P: K 0:52:34 1 kg at per Acer'],SAGAR,1,Nutrient Management,and crop farmer how in increase know lentil production size to to want,MADHYA PRADESH
6675,['Madhya Pradesh \tJabalpur \tPulses \tGreen (Whole) \tFAQ \t3380 \t3675 \t3400 \t30 May 2017\r\nMadhya Pradesh \tJabalpur \tPulses \tBlack Gram (Whole) \tFAQ \t4000 \t4755 \t4375 \t29 May 2017'],JABALPUR,5,Market Information,about and black farmer gram gram green in jabalpur know mandi mandi of rate to wants,MADHYA PRADESH
6676,"['Spray emamectin benzoate 8- 10 gram or corajan, fem 4-5 ml at 15 liter of water']",JABALPUR,5,	Plant Protection	,about black caterpillars control crop farmer gram how in information know to to wants,MADHYA PRADESH
6677,['RECOMMENDED TO SPRAY PLANOFIX 1ML/5LIT WATER'],BALANGIR,9,	Plant Protection	,bean broad drop flower in,ODISHA
6678,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,9,Weather,about conrtol insct me tell,RAJASTHAN
6679,"['Urea = 131. KG., DAP = 108. Kg., Muriate of potash = 50. Kg. and zinc sulphate 25 kg   Use per hectare.']",JABALPUR,7,Fertilizer Use and Availability,about are crop doses farmer fertilizer in information know paddy to want what,MADHYA PRADESH
6680,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,colour control garlic leaf me tell yellow,RAJASTHAN
6681,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],ALWAR,3,	Plant Protection	,flower in mango me no tell,RAJASTHAN
6682,['RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER'],CUTTACK,2,	Plant Protection	,bitter gourd in pests sucking,ODISHA
6683,['SMS activation Process Is Successfully Completed on your number'],BARMER,5,Government Schemes,activation asked for sms,RAJASTHAN
6684,"['Wheat-N-75kg,P-50kg,K-140kg/acre']",SAGAR,5,Cultural Practices,about doses farmer fertilizer ginger in information know to want,MADHYA PRADESH
6685,"['02358 282 065\r\nDr. Balasaheb Sawant Konkan Krishi Vidyapeeth, Phone']",RATNAGIRI,6,Government Schemes,about agri asked contact dapoli number univercity,MAHARASHTRA
6686,"['Jabalpur 1 \xe2\x80\x93 3 Day Weather Forecast Summary: Heavy rain (total 55mm), heaviest during Mon afternoon. Warm (max 30\xc2\xb0C on Mon afternoon, min 24\xc2\xb0C on Sat night). Wind will be generally light.']",JABALPUR,8,Weather,about farmer in information konw to want weathwer,MADHYA PRADESH
6687,['Spray dimethoate 30 EC 500 ml/ha \xc3\xb3r 30 ml per pump'],DAMOH,3,Weather,any control following for in infestation initial insecticides of of one pest recommended spray stage sucking the the to,MADHYA PRADESH
6688,['DRENCHING OF CARBENDAZIM 250 GM/BIGHA IN ROOT ZONE WITH IRRIGATION'],BARMER,1,	Plant Protection	,control in isabgul me root rot tell,RAJASTHAN
6689,['recommended for to grouth  of flower and fruit spray Amino acid +folic acid(fantac plas )10 + humic acid 30 ml +liquid sulpher 40  ml per pump.'],SAGAR,1,Nutrient Management,about and farmer flower fruit gram grouth information know of to want,MADHYA PRADESH
6690,['USE QUINOLPHOS 1.5% DUST 25 KG PER HA MIX IN SOIL'],ALWAR,9,	Plant Protection	,control grub in me mustard tell white,RAJASTHAN
6691,['Spray dimethoate 30 EC 500 ml/ha'],MANDLA,4,	Field Preparation	,black control crop farmer gram how in know pest sucking to to want,MADHYA PRADESH
6692,['TEMP.NO SUITABLE.'],ALWAR,3,Cultural Practices,cardamon i sowing to want,RAJASTHAN
6693,"['?\t""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532']",ALWAR,2,Government Schemes,contact me n tell,RAJASTHAN
6694,"['VARIITIES OF COTTON-BIKANERA NARMA,GANGANAGAR AGEY-TI']",ALWAR,5,Seeds,cotton me of tell variities,RAJASTHAN
6695,"['""\r\nSUBSIDY ON DRIP SYSTEM IN FRUIT PLANT= 70% OF TOTAL COST']",BARMER,4,Weather,drip me subsidy tell,RAJASTHAN
6696,['to control wild animals spray product taar'],MANDLA,9,	Plant Protection	,about animals control farmer how information know to to want wild,MADHYA PRADESH
6697,['Season:OF GINGER\r\n\r\nMay - June is highly suitable for cultivation.'],ALWAR,6,Cultural Practices,ginger me of season tell,RAJASTHAN
6698,['SPRAY OF MENCOZEB 2 GM PER LITER WATER'],ALWAR,3,	Plant Protection	,control in me pest tell wheat,RAJASTHAN
6699,"['SPRAY CHLOROPYRIPHOS 2ML/1LITRE OF WATER', 'SPRAY TRIAZOPHOS 400ML/ACRE']",CUTTACK,2,	Plant Protection	,caterpillar eating leaf,ODISHA
6700,['RECOMMENDED TO SPRAY RIDOMIL GOLD @ 2.5 GRAM / 1 LIT OF WATER'],CUTTACK,2,	Plant Protection	,blight brinjal in phomopsis,ODISHA
6701,['18001806224'],ALWAR,2,	Plant Protection	,department me numbeer palan pashu tell,RAJASTHAN
6702,['SPRAY POLYFEED (19-19-19) @ 100GM/15LIT WATER FOR GROWTH OF BANANA'],DHENKANAL,3,Fertilizer Use and Availability,banana for growth of,ODISHA
6703,"['Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.', 'Recommended for Spray of Queenolfos 25 EC 1000 Ml. / hac.']",SAGAR,4,	Plant Protection	,caterpillars control crop farmer in information measures need of regarding tomato,MADHYA PRADESH
6704,['Govt. anounce minimum support price of gram is 4000 rs / quintal .'],DAMOH,3,Market Information,about farmer gram know minimum of price support to want,MADHYA PRADESH
6705,"['VARIETY OF BHINDI = VARSHA UPHAR,PARBHANI KRANTI, PUSA MAKHMALI, ARKA ANAMIKA']",ALWAR,2,Vegetative Propagation and Tissue Culture,bhindi me of tell varitey,RAJASTHAN
6706,"['Recommended for foliar application of IFFCO 19:19:19 water soluble fertilizer @ 100 gm/pump.', 'Recommended for foliar application of IFFCO N:P:K  0:0:50 (50 % potash and 17 % Sulpher) water soluble fertilizer @ 80-100 gm/pump and Zinc Sulphate Mono hydrate (zinc 33% and sulphur 15%)2 gram per liter of water']",JABALPUR,4,	Field Preparation	,farmer gram green growth how increase information needs of regarding to,MADHYA PRADESH
6707,['JODHPUR MANDI ME  MOTH KE BHAV =2727 RS./QUT.'],BARMER,3,Market Information,in information jodhpur mandi market me moth of tell,RAJASTHAN
