,answers,changed-questions,district,month,query-type,state
8558,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],control dieback orange plant tell,BARMER,5,	Plant Protection	,RAJASTHAN
8559,['CONTACT AAO/AHO OF YOUR BLOCK FOR -AVAILABILITY OF SEEDS AND PLANTING MATERIALS'],availability materials planting seeds,BALASORE,5,Government Schemes,ODISHA
8560,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control cut rijka tell worm,AJMER,5,	Plant Protection	,RAJASTHAN
8561,['Recommended for Spray Use imidaclorprid 17.8%SL @5 to 6 ml per pump.'],aphids control crop farmer information know okra want,SAGAR,6,	Plant Protection	,MADHYA PRADESH
8562,['Recommended for Before sowing you should be apply 43 kg urea and 313 kg of DAP at per hactayer.'],crop dose farmer fertilizer information need regarding urd,SAGAR,6,Fertilizer Use and Availability,MADHYA PRADESH
8563,['SPRAY WETABALE SULPHUR 25 GM / 15 LITERS OF WATER'],attack mango thrips,RATNAGIRI,2,	Plant Protection	,MAHARASHTRA
8564,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],bcontrol mango pest tell,ALWAR,6,Nutrient Management,RAJASTHAN
8565,['seed of black gram crop 20 to 25 kg seed recommended for sowing.'],black crop farmer gram information need rate regarding seed,SAGAR,6,Seeds,MADHYA PRADESH
8566,['DRENCHING OF CARBENDAZIM 1 KG PER HA IN ROOT ZONE WITH IRRIGATION'],control isabgoial root rot tell,BARMER,1,	Plant Protection	,RAJASTHAN
8567,"['VARIETY OF BT COTTON = MRCH -7017(BG 2),BIO SEED 6588,MRCH 6304,ANKUR 3028']",bt cotton tell varitey,AJMER,5,Varieties,RAJASTHAN
8568,['Spray copper oxychloride 50% WP 45 gram per 15 litter of water .'],control farmer fungal howto infection know plant want,JABALPUR,2,	Plant Protection	,MADHYA PRADESH
8569,['Recommended for Spray Daiphenthuran (pegaasas) 10 to 15 gram at per pump.'],attack control crop farmer fly information measures moong need regarding white,SAGAR,4,	Plant Protection	,MADHYA PRADESH
8570,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],kakari plant protection tell,AJMER,2,	Plant Protection	,RAJASTHAN
8571,"['VARIETY OF MARIGOLD= BUTY GOLD ,BUTY ORANGE, PRIME ROSE LEDY, ORANGE JUBLI', 'Local types (orange & yellow), Pusa Narangi Gainda, Pusa Basanthi Gainda (IARI varieties) and MDU 1 can be cultivated.', 'VARIETY OF MARIGOLD= BUTY GOLD ,BUTY ORANGE, PRIME ROSE LEDY, ORANGE JUBLI , Varieties \r\n Local types (orange & yellow), Pusa Narangi Gainda, Pusa Basanthi Gainda (IARI varieties) and MDU 1 can be cultivated.']",marigold tell variety,ALWAR,7,Seeds and Planting Material,RAJASTHAN
8572,['For control of crown rot in pumpkin = drenching of blue copper 30 gram + humic acid 30 ml in 15 liter of water.....'],asked attack crown farmer pumpkin rot,THANE,3,	Plant Protection	,MAHARASHTRA
8573,"['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER', '?????? 60 ???? ?? ?????? ?? ?? ?? ????']",managment nutrient tell,BARMER,7,Nutrient Management,RAJASTHAN
8574,"['USE OF CARBANDAZIM 250 GM/BIGHA', 'USE OF CARBANDAZIM 250 NGM/BIGHA', 'USE OF CARBANDAZIM 250 GM/BIGHA WITH IRRI GARTIOPN', 'USE OF CARBANDAZIM 250 GM/BIGHA WITH IRRIGATION']",black control cumin rot tell,BARMER,2,	Plant Protection	,RAJASTHAN
8575,"['Varieties \r\n Allahabad, Lucknow 46, 49, Arka Amulya, Arka Mridula, Banaras, Baptla, Arka Kiran, Lalit and TRY (G)-1 are the suitable varieties for cultivation.']",guava tell varieties,ALWAR,5,Seeds and Planting Material,RAJASTHAN
8576,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control cut groundnut tell worm,ALWAR,9,	Plant Protection	,RAJASTHAN
8577,"['variety of Chilli Pusa Jwala, Pusa Sadabahar, Arka Lohit, Arka Suphal, Kashi Early, Chilli-101, Pant C-1,Sona-21, Jawahar, Agni']",chillie variety,SAGAR,5,Cultural Practices,MADHYA PRADESH
8578,"['18001806127', '0141-5116242']",contract krishi number tell vibhag,AJMER,3,Weather,RAJASTHAN
8579,"['RATE OF MUNG 4350RS/QT', 'RATE OF MUNG IN BARMER MANDI 4000RS/QT', 'BARMER  MANDI IN RATE OF  MOONG (LOCAL) 4950RS/QT']",barmer mandi mung rate tell,BARMER,1,Market Information,RAJASTHAN
8580,['SPRAY OF COC 3 GM/LITRE'],cankar control orange tell,ALWAR,5,	Plant Protection	,RAJASTHAN
8581,['Please contact Bank and society for information about agriculture...'],agriculture farmer know loan want,DAMOH,5,Market Information,MADHYA PRADESH
8582,"['""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532', 'CONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532', '?\t""\r\nCONTACT NUMBER FOR MASRUM TRANING  KVK GANGANAGAR = 0154-2440532']",contact masrum number tell traning,BARMER,3,Training and Exposure Visits,RAJASTHAN
8583,['0141-5116242'],bhawna contract krishi number pant tellme,ALWAR,3,	Plant Protection	,RAJASTHAN
8584,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],control droping flower pomegranate tell,BARMER,9,	Plant Protection	,RAJASTHAN
8585,"['SPRAY IMIDACHLORPRID @ 6ML/15LIT WATER FOR LEAF CURLING IN COWPEA', 'SPRAY THIOMETHOCZAM (EKTARA) @ 10GM/15LIT WATER FOR LEAF CURLING IN COWPEA', 'SPRAY IMIDACLOPRID @ 6ML/15LIT WATER FOR LEAF CURLING IN COWPEA', 'RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER']",cowpea curling leaf,DHENKANAL,6,	Plant Protection	,ODISHA
8586,['recommended for spray imedaclorpid @5-7 ml/pump'],control farmer fly information know moong want white,SAGAR,5,	Plant Protection	,MADHYA PRADESH
8587,['SPRAY OF PROFENOFOS 1.5 ML PER LITER WATER'],cumin molya rog tell,BARMER,1,	Plant Protection	,RAJASTHAN
8588,['SPRAY MALATHION @ 2ML/1LIT WATER FOR FRUIT FLY IN MANGO'],fly fruit mango,DHENKANAL,3,	Plant Protection	,ODISHA
8589,"['Recommended for to control of fungal attack spray carbandazim + mancozeb 40gm.and streptocyclin 2 gram at 15 liter of water', 'Recommended for spray Metalaxyl + Mencozeb @ 30 g/pump.']",attack control crop farmer fungal know wants wheat,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8590,['USE QUINOLPHOS 25% EC 4 LITER PER HA WITH IRRIGATION FOR CONTROL OF WHITE GRUB'],control cotton grub tell white,ALWAR,8,	Plant Protection	,RAJASTHAN
8591,"['SPRAY OF IMIZATHYPER 10% SL 400 GM PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING', 'SPRAY OF PENDIMETHILIN 30% EC 2.5-3 LITER PER HA AFTER SOWING BUT BEFORE GERMINATION', 'SPRAY OF IMIZATHYPER 10% SL 400 ML PER HA IN DISSOLVE 400 LITER WATER AFETR 15-20 DAYS OF SOWING']",control guar tell weed,BARMER,8,Weed Management,RAJASTHAN
8592,['Use recommended dose of fentec plus 10 ml per pump'],control crop droping farmer flower fruit gram green know wants,JABALPUR,5,	Plant Protection	,MADHYA PRADESH
8593,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],management marigold micro nutrient tell,ALWAR,1,	Plant Protection	,RAJASTHAN
8594,['spray of sulfosulfuron 13.5 gram/acre.'],control crop weeds wheat,DAMOH,1,Weed Management,MADHYA PRADESH
8595,['SPRAY OF RIDOMIL GOLD 2 GM PER LITER WATER'],brinjal control disease fungal tell,ALWAR,6,	Plant Protection	,RAJASTHAN
8596,['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER'],brinjal control pest suking tell,ALWAR,3,	Plant Protection	,RAJASTHAN
8597,"['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER', 'SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",control cumin cut tell worm,BARMER,2,	Plant Protection	,RAJASTHAN
8598,"['Recommended for to know information about management of animal  contact to your animal hospital/veterinary doctor or contact 18001801199', 'Recommended for to know information about disease management of animal contact to your animal hospital/veterinary doctor or contact to  18001801199']",animal farmer information know management wants,SAGAR,8,Government Schemes,MADHYA PRADESH
8599,"['VARIETY OF WATERMELON----- SUGAR BOY, SWEET RUBY, MAYA, SURATI']",variety watermelon,BALASORE,2,	Plant Protection	,ODISHA
8600,['Recommended  for to know information about disease management of buffalo  contact to your animal hospital/veterinary doctor'],animal dairy farmer information know wants,SAGAR,9,Weather,MADHYA PRADESH
8601,['Recommended  for to know information about disease management of buffalo  contact to your animal hospital/veterinary doctor or contact 18001801199 or contact to dr. anukul pathak 9407364004'],buffalo dairy disease farmer information know management wants,JABALPUR,7,Dairy Production,MADHYA PRADESH
8602,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],control cut gram tell worm,AJMER,2,	Plant Protection	,RAJASTHAN
8603,['RECOMMENDED TO SPRAY VIPUAL BOOSTER 2ML/ LIT WATER FOR BETTER GROWTH AND YIELD IN COWPEA'],better cowpea growth yield,BALANGIR,7,Cultural Practices,ODISHA
8604,"['lentil, sagar, 18/02/2017\r\nMinimum 3000 Rs/Quintal, Maximum 3900 Rs/Quintal, Modal price 3500 Rs/Quintal\r\nwheat, sagar, 18/02/2017\r\nMinimum 1690 Rs/Quintal, Maximum 1850 Rs/Quintal, Modal price 1700 Rs/Quintal']",farmer information lentil mandi market needs rate regarding wheat,SAGAR,2,Market Information,MADHYA PRADESH
8605,['50 % SUBCIDICE ON ROTAWATER'],rotawater subcidice tell,ALWAR,5,Government Schemes,RAJASTHAN
8606,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],bottle control diesease gourd tell,ALWAR,6,	Plant Protection	,RAJASTHAN
8607,"['DEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL SAMPLE FOR TESTING SOIL', 'CONTACT TO AG. DEPTT. FOR SOIL TESTING']",asked soil tell testing,BARMER,2,Soil Testing	,RAJASTHAN
8608,['SPRAY OF ZINK SULPHATE  5 GRAM +UREA 10 GRAM PER LITER WATER'],management nutrient tell wheat,ALWAR,1,Nutrient Management,RAJASTHAN
8609,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control groundnut sundi tell,BARMER,8,	Plant Protection	,RAJASTHAN
8610,['Dr. B.R.Jedia\tDy. Director\t9829183935\t2982\t230284'],contect tell,BARMER,9,Weather,RAJASTHAN
8611,"['VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23', 'VARIETY OF SORGHUM CSV-15,CSV-23,PRATAP JOWAR-1430CSH-16']",sorghum tell variety,ALWAR,3,Varieties,RAJASTHAN
8612,['DUSTING OF METHYL PARATHIAN 2% 25 KG PER HA'],control jamun pest tell,ALWAR,8,	Plant Protection	,RAJASTHAN
8613,['SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],gvar jivanu rog tell,BARMER,8,Weather,RAJASTHAN
8614,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control curl leaf lemon tell,ALWAR,7,	Plant Protection	,RAJASTHAN
8615,['Recommended for Spray Use indoxa carb 14.5 % SC @ 10 ml at 15 liter of water.'],control crop farmer information know looper semi want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8616,"['urd -I.P.U.94-1 , PU-30 ,35 ,']",urd varieties,DAMOH,2,Seeds,MADHYA PRADESH
8617,"['SPRAY OF ACEPHATE 75% SP 2 GM PER LITER WATER', 'SPRAY OF DICOFOL 1.5 ML PER LITER WATER', 'SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER']",bhindi control insect tell,ALWAR,6,	Plant Protection	,RAJASTHAN
8618,['SPRAY OF MULTIPLAX (MICRONUTRIENT) 4 ML PER LITER WATER'],management nutrient tell,BARMER,5,Nutrient Management,RAJASTHAN
8619,['Spray Plano fix 4 to 5 Ml at 15 liter of water.'],black control crop droping farmer flower gram information measures need problem regarding,SAGAR,8,Cultural Practices,MADHYA PRADESH
8620,['recommended for to control insect pest in bottle gourd   crop spray melathion @30ml/pump'],bottle control crop farmer gourd information insect know pest want,DAMOH,2,	Plant Protection	,MADHYA PRADESH
8621,"['Varieties \r\n Japanese Long Green, Straight Eight and Poinsettee are mainly cultivated.']",cucumber tell varieties,ALWAR,2,Cultural Practices,RAJASTHAN
8622,['SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER'],control cut pomegranate tell worm,BARMER,8,	Plant Protection	,RAJASTHAN
8623,['BIKANER MANDI IN RATE OF GRAM 5290RS/QT'],bikaner gram mandi rate tell,BARMER,8,Market Information,RAJASTHAN
8624,['recommended for drenching with thyaophinet mithyal 70 % wp 15-20 gram/pump.'],attack control crop farmer fungal garlic know want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8625,"['Recommended for Spray of Chlorpyriphos 50% + Cypermethrin 5% EC 1000 Ml. / hac.', 'Recommended for Spray of Troijofos 40 EC 1000 Ml. / hac.']",attack caterpillars control crop farmer information measures need regarding wheat,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8626,"['RECOMMENDED FOR SPRAY TO MENCOZEB + CARBENDAZIM 35-40 GRAM/PUMP', 'Spray of Propinab 70% WP @ 2.5 - 3gm/litre of water.']",attack chilli control funggal,SAGAR,5,	Plant Protection	,MADHYA PRADESH
8627,['RIPE IN ICE'],banana ripe tell,ALWAR,3,	Plant Protection	,RAJASTHAN
8628,['HIGHTEST 6 LAKH PAR 25-33% SUBCIDI'],animal bank loan nabard tell,BARMER,9,"Animal Production (Piggery, Goatery, Sheep Farming etc.)",RAJASTHAN
8629,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],control disease pomegranate tell,BARMER,2,	Plant Protection	,RAJASTHAN
8630,"['SPRAY RIDOMIL MZ 2.5GM/1LITRE OF WATER', 'SPRAY RIDOMIL MZ 400GM/ACRE']",root rot,BALANGIR,2,	Plant Protection	,ODISHA
8631,['JUN-JULY SOWING TIME IN ALOE VERA'],aloe sowing tell time vera,ALWAR,1,Seeds and Planting Material,RAJASTHAN
8632,['SPRAY OF ATRAZINE 2.5 GM PER LITER WATER AFTER SOWING BUT BEFORE GERMINATION'],bajara managment tell weed,ALWAR,6,Weed Management,RAJASTHAN
8633,['JODHPUR (GRAIN)\tJEERA (CUMIN)\t15950 RS/QT'],cumin mandi rateof tell,BARMER,3,Market Information,RAJASTHAN
8634,['Your advisory service registration has been successfully updated on your mobile number \r\nfrom kisan call center.'],advisory farmer information know registration service update wants,DAMOH,3,Cultural Practices,MADHYA PRADESH
8635,['recommended for to control sucking pest in onion crop spray imedachlorprid 5-7 ml at 15 liter of water.'],control crop farmer information know onion pest sucking want,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8636,['TELL ME ABOUT TAKING SOIL SAMPLE ?\r\nDEEG 6-9 INCH DEEP `V` SHAPE PIT AND TACKING 500 GM SOIL'],sample soil tell testing,ALWAR,2,Soil Testing	,RAJASTHAN
8637,"['T-9,Pant-U-30,khargone-3,P.D.U.-1[basant bahar ],jawahar urad-2,jawahar urad -3 TPU-4are the popular varities under cultivation of urd .']",farmer known urdbean varieties want,SAGAR,6,Varieties,MADHYA PRADESH
8638,['SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER'],anar control disease tell,BARMER,4,	Plant Protection	,RAJASTHAN
8639,"['For deactivation of mandi bhaw registration please write capital letter ""KISAAN STOP"" \r\nand sms in number 51969 or 7738299899.', 'For deactivation of mandi bhaw registration please write capital letter ""KISAAN STOP"" and sms in number 51969 or 7738299899.']",deactivation farmer information information know market registration wants,DAMOH,4,Market Information,MADHYA PRADESH
8640,['Recommended for spray Troijofos 40 EC 40 Ml/pump.'],bean caterpillars control crop farmer information know wants,SAGAR,9,	Plant Protection	,MADHYA PRADESH
8641,['Recommended for Mancozeb 63% + Carbendazim 12% WP 40 gram and steptrocyclin 2 gram at 15 liter of water.'],attack control farmer fungal information melon musk need plant regarding,SAGAR,6,	Plant Protection	,MADHYA PRADESH
8642,['Gram beans and other crops to become a light irrigation at flowering stage is the increases in yields.'],chickpea farmer irrigation know time want,DAMOH,2,	Water Management	,MADHYA PRADESH
8643,['RECOMMENDED TO SPRAY THIAMETHOXAM @ 8 GRAM / 15 LIT OF WATER'],brinjal pests sucking,CUTTACK,2,	Plant Protection	,ODISHA
8644,['SPRAY OF MONOCROTOPHOS 36% SL 2 ML PER LITER WATER'],control insect msambi tell,BARMER,9,	Plant Protection	,RAJASTHAN
8645,"['FYM-10,SSP-100 GM/PLANT', 'SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER', 'SPRAY OF MICRONUTRIENT 4 GM/LITRE']",growth mango tell,ALWAR,5,Fertilizer Use and Availability,RAJASTHAN
8646,['SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER'],control curl gourd leaf ridge tell,AJMER,6,	Plant Protection	,RAJASTHAN
8647,['Recommended for spray Troijofos 40 EC 40 Ml/ pump .'],caterpillars control crop farmer information know pomegranate wants,DAMOH,4,	Plant Protection	,MADHYA PRADESH
8648,"['Manure and fertilizers\r\n\r\n    The use of fertilizers based on soil test should be done.\r\n    Gram glands found in the roots of plants are nitrogen fixation bacteria Avsoshit take nitrogen from the atmosphere and use the nitrogen for the plant to grow.\r\n    20-25 kg, 50-60 kg of nitrogen to yield 20 kg of phosphorus and 20 kg sulfur per ha Potas to use.\r\n    Scientists have shown that non-irrigated condition Sod 2 percent urea or DAP Gram of spray on the crop yield is increased.']",availability chick crop farmer ferltilizer information needs pea regarding,SAGAR,2,Fertilizer Use and Availability,MADHYA PRADESH
8649,"['Spray Triazophos- 2ml/ltr of water,repeat after a week,also use Neemajal-5ml/ltr of water alternatively.Use Trichogamma biocontrol cards and destroy the affected plant parts.']",borer brinjal fruit shoot,BALANGIR,1,	Plant Protection	,ODISHA
8650,"['recommended for to know about govt. schemes please contect rural agriculture extension officer ..', 'recommended for to know about govt. schemes please contect rural agriculture extension officer ..\r\n..', 'recommended for to know about govt. schemes please contect rural agriculture extension officer ..\r\n.', 'Recommended for to know about govt. schemes please Contact rural agriculture extension officer ..', 'recommended for to know about govt. schemes please contect rural agriculture extension officer ..Dr. Dinkar Prasad Sharma\r\nProgramme Coordinator\r\nKrishi Vigyan Kendra\r\nJNKVV\r\nDistt. Jabalpur \xe2\x80\x93 482004\r\n0761-\r\n2681626\r\n0761-\r\n2681626\r\n- 09425156657', 'PLEASE CONTACT YOUR RAEO OFFICERS', 'recommended for to know about govt. schemes please contAct rural agriculture extension officer ..', 'recommended for to know about govt. schemes please contact rural agriculture extension officer ..', 'to know about govt. schemes please contect rural agriculture extension officer ..', 'Recommended for to know about govt. schemes please contact rural agriculture extension officer .....', 'recommended for to know about govt. schemes please contect rural agriculture extension officer ..\r\n.....', 'To know about govt. schemes please contact rural agriculture extension officer.', 'NOTE- You can be punished and convicted if you are in conference call at the official call center.', 'recommended for to know about govt. schemes please contect rural agriculture extension officer', ""Please contact this number 07812-224261 for information related to farmer's brother animal husbandry."", 'Recommended for to know about govt. Schemes please contact rural horticulture  extension officer .....', 'farmer want to know information about govt. schemes?\r\nrecommended for to know about govt. schemes please contect rural agriculture extension officer ..', 'farmer want to know information about govt. schemes?', 'recommended for to know about govt. schemes please contect raeo', 'farmer want to know about govt. schemes please contect rural agriculture extension officer ..', '']",farmer govt information know schemes want,DAMOH,4,Government Schemes,MADHYA PRADESH
8651,['SPRAY OF ACETAMIPRID 20% SP 0.5 GM PER LITER WATER \r\nTELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN GUAR \r\nSPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER'],control fungal insect tell tomato,ALWAR,9,	Plant Protection	,RAJASTHAN
8652,"['USE  Fipronil 0.3% GR 12-15 KG PER HA', 'USE CHLOROPYRIFOS 20% EC 4 LITER PER HA WITH IRRIGATION']",bhindi control tell termit,ALWAR,1,	Plant Protection	,RAJASTHAN
8653,['18001806224'],contract number palan pashu tellme vibhag,ALWAR,6,Animal Breeding,RAJASTHAN
8654,"['Recommended for spray Profenophos 40% + Cypermethrin 4% EC(Rocket or  Poltrin \xe2\x80\x93or , Veercombi-4 )@ 40 ml /pump']",caterpillars control crop farmer information know soybeean wants,SAGAR,8,	Plant Protection	,MADHYA PRADESH
8655,"['Unirrigated \xe2\x80\x93 sujata, MP 3020,HW 2004 (amar), JWS 17, HI 1500, , HI 4672 (Malavratna), HI 8627, HI 7483 (Meghdut)']",crop farmer information know varieties want wheat,SAGAR,9,Varieties,MADHYA PRADESH
8656,"['Spray Dimethoate (Rogar) 40 ml per pump.', 'Recommended for Spray Dimethoate 30%EC (Rogar) 40 ml per pump.', 'Recommended for Spray Daiphenthuran (Pegasas) 10 to 15 gram at per pump.']",control crop fly gram green white,SAGAR,5,	Plant Protection	,MADHYA PRADESH
8657,"['VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23', 'VARIETY OF SORGHUM-SPV-837,SPV-96', 'VARIETY OF  SORGHUM- PRATAP JOWAR  ,CSV -17,CSH-13,CSV-15,SPV-887', 'VARIETY OF FODDER SORGHUM= M P CHARI, SSG 59-3, P.C.- 9, P.C.- 23\r\nUP CHARI-1,2']",sorghum tell variety,AJMER,3,Varieties,RAJASTHAN
8658,['APPLY DAP @ 17KG + MOP @ 13KG + 20KG UREA/ACRE AS BASAL FERTILIZER DOSE IN PADDY'],basal dose fertilizer paddy,BALANGIR,6,Fertilizer Use and Availability,ODISHA
8659,['Use recommended dose of apsa 80 @10 ml per pump'],chemical conserve farmer information method moisture needs regarding,JABALPUR,1,Cultural Practices	,MADHYA PRADESH
8660,['Recommended for to control cut worm in soybean apply phorate 10G @ 8-10kg/hac.'],control cut farmer information know soybean wants worm,SAGAR,8,Weather,MADHYA PRADESH
8661,['RECOMMENDED TO SPRAY DICHLORVOS OR CHLORPYRIFOS @ 2 ML / 1 LIT OF WATER'],cotton leaf roller,BALANGIR,9,	Plant Protection	,ODISHA
8662,"['Rio de Janeiro, Maran Nadan, Suruchi,\r\nSuravi, Suprabha']",crop farmer ginger information know variety want,SAGAR,6,Seeds and Planting Material,MADHYA PRADESH
8663,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],control corianar medisease tell,BARMER,2,	Plant Protection	,RAJASTHAN
8664,"['Recommended for when your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar for narrow leaf weeds and emejhathayper 300 ml per Acer for broad leaf weeds.', 'Recommended for spray of ODC 100 gram per hectare for weed management in soybean crop.', 'for narrow leaf weeds and emejhathayper 300 ml per Acer for broad leaf weeds.', 'Reccomonded:  emejhathayper 300 ml per Acer for broad leaf weeds.', '15 to 20 days you will be spray  for narrow leaf weeds and emejhathayper 300 ml per Acer for broad leaf weeds.', 'Recommended for when your narrow leaf weeds and emejhathayper 300 ml per Acer for broad leaf weeds', 'Recommended for when your crop become 15 to 20 days you will be spay qugelefop ethyel 400ml per acar']",crop farmer information management need regarding soybean weed,JABALPUR,7,Weed Management,MADHYA PRADESH
8665,['1575 ru /qu'],kharthal mandi rate tell wheat,ALWAR,4,Market Information,RAJASTHAN
8666,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF IMIDACHLOPRID 17.8% SL 0.5 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",control insect mothbean tell,BARMER,8,	Plant Protection	,RAJASTHAN
8667,['MICRONUTRIENT 100 GRAM / PLANT IN ROOT  ZONE'],guava management nutrient tell,ALWAR,5,Nutrient Management,RAJASTHAN
8668,"['Crop name wheat - Minimum Price(Rs-1450/Quintal) ,  Maximum Price(Rs-1550 /Quintal)-, Modal Price (Rs -1500  /Quintal']",farmer information know mandi market rahatgarh rate want wheat,SAGAR,4,Market Information,MADHYA PRADESH
8669,['SPRAY OF CARBENDAZIM 12% + MANCOZEB 63% WP 2 GM PER LITER WATER'],blight controle tell til,ALWAR,8,	Plant Protection	,RAJASTHAN
8670,['SPRAY OF MICRONUTRIENT 4 GM PER LITER WATER'],micronutrient sapota spray tell,ALWAR,4,Fertilizer Use and Availability,RAJASTHAN
8671,['RECOMMENDED TO SPRAY TATAMIDA 1ML/ 3 LIT WATER FOR CONTROL OF SUCKING PEST IN BLACK GRAM'],black gram pest sucking,BALANGIR,8,	Plant Protection	,ODISHA
8672,"['green gram, sagar, 06/07/2017\r\nMinimum 5225 Rs/Quintal, Maximum 5225 Rs/Quintal, Modal price 5225 Rs/Quintal']",farmer gram green information mandi market needs rate regarding,SAGAR,7,Weather,MADHYA PRADESH
8673,['Recommended for to know information about poultry farm contact to toll free number 1800 180 1199'],animal farmer farming information needs regarding,MANDLA,4,Integrated Farming,MADHYA PRADESH
8674,['Recommended for irrigate the crop if leaf down in the time of evening.'],crop farmer information irrigate jayad know wants,SAGAR,3,	Water Management	,MADHYA PRADESH
8675,['Recommended for Tricoderma viridi culture 3 to 4 kg per acer per year for control of wilt disease in gram crop.'],control crop disease farmer gram know wants wilt,SAGAR,1,	Plant Protection	,MADHYA PRADESH
8676,['SPRAY OF PLANOFIX 1 ML PER 4 LITER WATER'],control droping fruit lemon plant tellme,ALWAR,4,Cultural Practices,RAJASTHAN
8677,['USE CHLOROPYRIFOS 20% EC 40 ML PER PALNT WITH IRRIGATION'],control pomegranate tell termite,BARMER,2,	Plant Protection	,RAJASTHAN
8678,['SPRAY SOLUBLE NPK  18:18:18 GRADE 10 GM/LTR WATER'],bajara growth tell,BARMER,8,Fertilizer Use and Availability,RAJASTHAN
8679,"['SPRAY OF DIMETHOATE  30% EC 2 ML PER LITER WATER', 'SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER']",control insect soybean tell,BANSWARA,8,	Plant Protection	,RAJASTHAN
8680,"['Ooty 1, Bonneville, Arkel and Azad are the popular varieties under cultivation.']",crop farmer information need pea regarding varieties,JABALPUR,9,Cultural Practices,MADHYA PRADESH
8681,"['VARIETY OF DESHI COTTON = RG 8,RG 18,RAJ DH 9, HD 123']",kapas tell variety,ALWAR,3,Varieties,RAJASTHAN
8682,"['VARIETY OF WATERMELON = SUGAR BEBI, ARKA MANIK']",melon tell variety water,ALWAR,4,Varieties,RAJASTHAN
8683,['?\tSpray emamectin benjoate 5% SG 8- 10 gram or'],bengal caterpillars control crop farmer gram information larva measures needs regarding,MANDLA,1,	Plant Protection	,MADHYA PRADESH
8684,"['VARIETY OF MOONG =SML 668,GM-4, RMG 492, RMG 268, RMG 344']",moong variety,AJMER,1,Varieties,RAJASTHAN
8685,['SPRAY OF INDOXACARB 14.5% SC 1 ML PER LITER WATER'],bvrinjal control pest tell,ALWAR,7,	Plant Protection	,RAJASTHAN
8686,['Ethylene dibromide 3 gram per Quintal for storage for wheat'],farmer know storage wants wheat,SAGAR,3,Nutrient Management,MADHYA PRADESH
